"filename", "language", "Java", "XML", "CSV", "comment", "blank", "total"
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\caches\deviceStreaming.xml", "XML", 0, 318, 0, 0, 0, 318
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\compiler.xml", "XML", 0, 13, 0, 0, 0, 13
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\encodings.xml", "XML", 0, 7, 0, 0, 0, 7
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\jarRepositories.xml", "XML", 0, 20, 0, 0, 0, 20
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\misc.xml", "XML", 0, 14, 0, 0, 0, 14
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 6
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\.idea\workspace.xml", "XML", 0, 49, 0, 0, 0, 49
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\nuevoFicheroLineaPedido.csv", "CSV", 0, 0, 6, 0, 1, 7
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\nuevoFicheroXMLClientes.xml", "XML", 0, 51, 0, 0, 1, 52
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\pom.xml", "XML", 0, 121, 0, 2, 12, 135
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\App.java", "Java", 26, 0, 0, 3, 9, 38
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\ClienteWrape.java", "Java", 24, 0, 0, 0, 9, 33
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\ControladorCliente.java", "Java", 35, 0, 0, 16, 13, 64
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\ControladorPedido.java", "Java", 40, 0, 0, 22, 16, 78
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\ControladorProducto.java", "Java", 43, 0, 0, 7, 18, 68
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\ExamenMain.java", "Java", 29, 0, 0, 28, 17, 74
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\GestionFicheros.java", "Java", 186, 0, 0, 288, 66, 540
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\PizzasWrapper.java", "Java", 24, 0, 0, 0, 9, 33
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\ProductosWrapper.java", "Java", 16, 0, 0, 0, 8, 24
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\Pruebas.java", "Java", 5, 0, 0, 32, 17, 54
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\src\main\java\ies\thiar\ClasesEnDeshuso\Pruebas2.java", "Java", 16, 0, 0, 91, 26, 133
